id,subject,email_text,language
215,Overal FIT funkcie,"Ahojte, dámsky overal FIT Black má funkciu 4-way stretch? A je vhodný aj na jogu?",sk
216,Aká je otváracie hodiny predajne?,"Dobrý deň, aké máte otváracie hodiny na predajni v Košiciach?",sk
217,Objednávka z 5.10.,"Dobrý deň, objednávka 61823 bola vytvorená 5.10. a stále nič. Je všetko OK?",sk
218,Obsah bielkovín na dávku,"Dobrý večer, koľko gramov bielkovín je v jednej odmerke vášho iso whey proteínu?",sk
219,Sponzorstvo powerlifting súťaže,"Dobrý večer, som organizátor Slovenského pohára v powerliftingu. Hľadáme titulárneho sponzora pre celú sezónu (8 pretekov). Môžeme ponúknuť logo na diplómoch, pohárov, bannery na miestach konania. Cena sponzorstva 3000 EUR ročne. Máte záujem?",sk
220,Môžem zaplatiť prevodom?,"Dobrý deň, dá sa zaplatiť bankovým prevodom? Ako to funguje?",sk
221,Chcem fakúru,"Dobrý večer, potrebujem pre objednávku 73851 faktúru na firmu. Ako to zariadiť?",sk
222,Pre ženy,"Dobrý deň, máte nejaké produkty špecificky pre ženy?",sk
223,Ako sledovať zásielku?,"Dobrý deň, kde môžem sledovať moju zásielku? Ako to funguje?",sk
224,Pre diabetikov,"Dobrý večer, som diabetik. Ktoré produkty sú pre mňa vhodné? Obávam sa obsahu cukru.",sk
225,Proteín pre chudnutie,"Dobrý večer, ktorý proteín odporúčate na chudnutie? Chcem schudnúť 10kg.",sk
226,Zmeniť telefónne číslo,"Ahojte, obj 64285, potrebujem zmeniť telefónne číslo pre kuriéra.",sk
227,Zlý účet použitý,"Ahoj, zrušiť objednávku 88962? Použil som zlý účet na objednanie.",sk
228,Rozšírte si penis!!!,REVOLUTIONARY METHOD!!! Zväčšite si penis o 8 cm za 2 týždne!!! 100% prírodný produkt!!! Kliknite tu www.spam-product.com,sk
229,Peniaze hneď?,"Dobrý deň, obj 54871 vrátenie, môžem dostať peniaze hneď?",sk
230,Koľko proteínu denne?,"Dobrý deň, chcel by som sa opýtať koľko gramov proteínu by som mal užívať denne pri váhe 80kg?",sk
231,Pomoc so zistením stavu,"Prosím Vás pekne, môžete mi pomôcť zistiť kde je moja objednávka? Číslo je 82456.",sk
232,Aký je rozdiel medzi ISO a klasickým?,"Prosím vás, aký je rozdiel medzi ISO whey a klasickým whey proteínom?",sk
233,Žiadna zmena v stave,Chcel by som sa informovať o mojej objednávke č. 93214. Už 4 dni žiadna zmena v stave.,sk
234,True Whey ProDigest stráviteľnosť,"Dobrý večer, True Whey ProDigest má v sebe nejaké enzýmy na lepšie trávenie? Mám citlivý žalúdok na bežný whey.",sk
235,Vrátenie 2 produktov,"Ahoj, potrebujem vrátiť 2 produkty z objednávky 67341. Prídu mi vyzdvihnúť kuriérom?",sk
236,Ako použiť darčekovú poukážku?,"Ahoj, ako môžem uplatniť darčekovú poukážku pri objednávke?",sk
237,Koľko trvá vybavenie?,"Ahojte, chcem vrátiť produkt z obj. 73189. Koľko to bude trvať celé vybavenie?",sk
238,Iný produkt ako objednaný,"Objednávka 59817, prišiel mi iný produkt ako som objednával. Toto už nie je prvýkrát!",sk
239,Prederavený obal,"Ahoj, objednávka 65748, obal od gainery je prederavený, prášok je po celom balíku.",sk
240,Ako dlho trvá vybavenie?,"Ahoj, ako dlho trvá vybavenie vrátenia? Obj. 58964",sk
241,Link nefunguje,"Ahoj, kde môžem sledovať objednávku 51934? Link nefunguje.",sk
242,Zmeniť počet kusov,"Dobrý deň, obj. 69384, môžete mi zmeniť počet kusov? Namiesto 2 chcem 3.",sk
243,Verdiene Geld von zu Hause,Hallo! Arbeiten Sie von zu Hause aus und verdienen Sie 5000 Euro pro Monat! Keine Erfahrung erforderlich! Besuchen Sie unsere Website www.workfromhome-scam.de JETZT!!!,sk
244,Vzorky zadarmo?,"Ahoj, dávate niekedy vzorky zadarmo k objednávke?",sk
245,Kombinovať vitamíny,"Prosím vás, môžem kombinovať multivitamín s vitamínom D3 a omega 3? Nie je to moc?",sk
246,Zrušiť dnes vytvorenú,Prosím vás zrušte objednávku 82651. Vytvoril som ju dnes ráno.,sk
247,5 dní nič,Prosím o informáciu ohľadom objednávky 76489. Už 5 dní nič.,sk
248,Platí sa za osobný odber?,"Dobrý večer, ak si vyzdvihnem objednávku na predajni, platím nejaký poplatok?",sk
249,Ako postupovať pri reklamácii?,"Dobrý večer, objednávka 89465 obsahuje poškodený tovar. Ako postupovať pri reklamácii?",sk
250,Rozdiel medzi casein a whey,"Ahojte, aký je vlastně rozdiel medzi caseinovým a whey proteínom? Kedy čo užívať?",sk
251,Nefunkčný tracking,Prosím vás pošlite mi info o objednávke 54329. Tracking nefunguje.,sk
252,Sú náklady za vrátenie?,"Prosím vás, platím za vrátenie tovaru nejaké poplatky?",sk
253,Mikina Athlete zloženie,"Prosím vás, môžete mi povedať presné zloženie mikiny Athlete Grey Black? Som alergická na niektoré syntetické materiály.",sk
254,OBJEDNÁVKA KDE JE????,OBJEDNÁVKA 84569 KDE JE????,sk
255,Omega 3 pôvod,"Dobrý večer, odkiaľ pochádza rybí olej vo vašich Omega 3 kapslách? Je to z voľne žijúcich rýb alebo z fariem?",sk
256,Chýba polovica objednávky!,"URGENTNE! Obj 76593, chýba polovica objednávky! Kde je zvyšok tovaru???",sk
257,Pre začiatočníka,"Ahoj, som úplný začiatočník vo fitku. Čo mi odporúčate ako prvý suplement?",sk
258,Môžem vymeniť tovar?,"Ahoj, dá sa tovar vymeniť za iný alebo len vrátiť?",sk
259,ÚPLNE INÝ PRODUKT!,"Obj. 82365 REKLAMÁCIA, prišiel úplne iný produkt! Som nahnevaný, toto je neprofesionálne!",sk
260,Sponzoring fitness súťaže,"Dobrý deň, som organizátor fitness súťaže Miss Bikini Fitness Slovensko 2026. Hľadáme hlavného sponzora pre túto prestížnú udalosť. Máte záujem o spoluprácu? Účasť 500 pretekárov, mediálne pokrytie zaručené.",sk
261,Už to ide?,Potrebujem info o objednávke č. 46758. Už to ide alebo ešte nie?,sk
262,Mám nárok na zľavu?,"Dobrý večer, mám nárok na nejakú študentskú zľavu?",sk
263,Musím vyplniť formulár?,"Dobrý deň, vrátenie objednávky 55836, musím vyplniť nejaký formulár?",sk
264,Balík nedorazil,"Prosím Vás, môžete mi povedať kde je balík s číslom objednávky 92341? Potrebujem to naliehavo.",sk
265,Hydrolyzovaný kolagén RunCollg užívanie,"Dobrý deň, Hydrolyzovaný kolagén RunCollg sa dá miešať do kávy? A koľko gramov denne odporúčate na kĺby?",sk
266,ZERO SIRUP čokoláda chuť,"Prosím vás, je ZERO SIRUP čokoláda naozaj bez cukru? A chutí to dobre alebo je tam silná príchuť sladidiel?",sk
267,WEIGHT LOSS MIRACLE!!!,LOSE 20 KG IN 2 WEEKS!!! NO DIET NO EXERCISE!!! MIRACLE PILL FROM HOLLYWOOD STARS!!! ORDER NOW www.miracle-weightloss-scam.com ONLY 99.99 EUR!!!,sk
268,Partnerstvo fitness blogger,"Dobrý večer, som fitness blogerka na Instagrame, mám 15000 followerov. Zaujíma ma partnerstvo s vašou značkou. Môžem posielať Stories s vašimi produktmi výmenou za mesačné balíčky. Mám veľmi angažované publikum, hlavne ženy 20-35 rokov.",sk
269,Kedy zľavy?,"Dobrý deň, kedy budete mať nejaké akcie alebo výpredaje?",sk
270,Exspirovaná tyčinka!!!,"Objednávka č. 92157, proteínová tyčinka je po exspirácii!!! Toto je vážne? Chcem reklamovať!",sk
271,Doručujete cez víkend?,"Ahoj, doručujete zásielky aj v sobotu a nedeľu?",sk
272,Pridať poznámku pre kuriéra,"Dobrý večer, objednávka 89174, môžem pridať poznámku pre kuriéra?",sk
273,Thor Fuel + Vitargo dávkovanie,"Ahoj, ako sa dávkuje Thor Fuel + Vitargo? Koľko g na jednu dávku a kedy to brať? Pred alebo po tréningu?",sk
274,Sponzorstvo športovca,"Dobrý večer, som profesionálny športovec, ponúkate nejaké sponzorské programy?",sk
